OccNo,VesselFlag,YearBuilt,Gross Tonnage,Vessel Type,Vessel Sub Type,Month,Accident Region,Latitude,Logitude,Area Type,Fatalities,Serious Injuries,Vessel Phase,Vessel Sub Phase,Accident Type,Accident Sub Type
M17A0467,CANADA,1985,UPTO 100,FISHING,FISHING,Dec,ATLANTIC REGION,43.36546,-65.6403,SEA,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17A0468,CANADA,1985,UPTO 100,FISHING,FISHING,Dec,ATLANTIC REGION,43.15783,-65.6813,SEA,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17A0469,CANADA,1968,UPTO 100,FISHING,FISHING,Dec,ATLANTIC REGION,49.96116,-55.6033,HARBOUR,0,0,NOT MOVING,DOCKED,ACCIDENT,EXPLOSION
M17A0470,UNITED STATES - US,1976,UPTO 1000,OTHER,SERVICE,Dec,ATLANTIC REGION,44.501,-63.5116,HARBOUR,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17A0471,CANADA,1980,UPTO 100,FISHING,FISHING,Dec,ATLANTIC REGION,43.3555,-65.6466,SEA,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17A0472,CANADA,1982,UPTO 100,FISHING,FISHING,Dec,ATLANTIC REGION,43.26086,-65.3895,SEA,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17A0473,CANADA,1985,UPTO 100,FISHING,FISHING,Dec,ATLANTIC REGION,44.38455,-66.3948,BAY,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17A0474,CANADA,2004,UPTO 100,FISHING,FISHING,Dec,ATLANTIC REGION,43.04166,-65.5666,SEA,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17A0475,CANADA,1985,UPTO 100,FISHING,FISHING,Dec,ATLANTIC REGION,43.44883,-65.6613,SEA,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17A0476,CANADA,1981,UPTO 100,FISHING,FISHING,Dec,ATLANTIC REGION,43.26866,-66.277,SEA,0,0,MOVING,AHEAD,INCIDENT,RISK OF SINKING
M17A0477,CANADA,1985,UPTO 100,FISHING,FISHING,Dec,ATLANTIC REGION,43.21666,-65.65,SEA,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17A0478,CANADA,1985,UPTO 100,FISHING,FISHING,Dec,ATLANTIC REGION,43.485,-66.2631,SEA,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17A0479,CANADA,1991,UPTO 100,FISHING,FISHING,Dec,ATLANTIC REGION,44.44833,-66.355,SEA,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17A0480,CANADA,2010,UPTO 100,FISHING,FISHING,Dec,ATLANTIC REGION,43.18791,-65.4283,SEA,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17A0481,CANADA,1991,UPTO 100,FISHING,FISHING,Dec,ATLANTIC REGION,43.85083,-66.7761,SEA,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17A0482,CANADA,1995,UPTO 100,FISHING,FISHING,Dec,ATLANTIC REGION,44.44333,-63.6533,BAY,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17A0483,CANADA,2015,UPTO 100,FISHING,FISHING,Dec,ATLANTIC REGION,43.275,-65.7016,SEA,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17A0484,CANADA,1988,UPTO 100,FISHING,FISHING,Dec,ATLANTIC REGION,43.33883,-65.5561,SEA,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17A0485,CANADA,1985,UPTO 100,FISHING,FISHING,Dec,ATLANTIC REGION,43.198,-65.7901,SEA,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17A0486,CANADA,1985,UPTO 100,FISHING,FISHING,Dec,ATLANTIC REGION,43.22533,-65.608,SEA,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17A0487,CANADA,1985,UPTO 100,FISHING,FISHING,Dec,ATLANTIC REGION,43.742,-66.7906,SEA,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17A0488,CANADA,1985,UPTO 100,FISHING,FISHING,Dec,ATLANTIC REGION,44.43783,-66.473,BAY,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17A0489,CANADA,1985,UPTO 100,FISHING,FISHING,Dec,ATLANTIC REGION,44.99466,-65.8576,BAY,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17A0490,CANADA,1987,UPTO 100,FISHING,FISHING,Nov,ATLANTIC REGION,42.75166,-66.1517,SEA,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17A0491,CANADA,1995,UPTO 100,FISHING,FISHING,Dec,ATLANTIC REGION,44.02,-64.6583,SEA,0,1,MOVING,AHEAD,ACCIDENT,PERSON SERIOUSLY INJURED OR KILLED
M17A0491,CANADA,1995,UPTO 100,FISHING,FISHING,Dec,ATLANTIC REGION,44.02,-64.6583,SEA,0,1,MOVING,AHEAD,ACCIDENT,PERSON SERIOUSLY INJURED OR KILLED
M17C0001,CANADA,2007,UPTO 100000,CARGO,LIQUID CARGO,Jan,CENTRAL REGION,46.22863,-72.7872,LAKE,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17C0002,CANADA,1985,UPTO 100000,CARGO,SOLID CARGO,Jan,CENTRAL REGION,45.49291,-73.5488,HARBOUR,0,0,MOVING,MANUEVERING,ACCIDENT,COLLISION
M17C0005,CANADA,1998,UPTO 100000,CARGO,LIQUID CARGO,Jan,CENTRAL REGION,42.34833,-80.5933,LAKE,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
M17C0005,CANADA,1998,UPTO 100000,CARGO,LIQUID CARGO,Jan,CENTRAL REGION,42.34833,-80.5933,LAKE,0,0,MOVING,AHEAD,INCIDENT,TOTAL FAILURE OF MACHINERY
