OccNo,VesselName,VesselFlag,VesselType,VesselSubType,GrossTonnage,YearBuilt,YearRebuilt,VesselPhase,VesselActivityType,VesselActivitySubType,VesselLossIND,PrimaryVesselIND,PrimaryAccIncTypeIND,VesselAccIncType,VesselAccIncSubType,PRODUCTION_DT
M04C0067,UMIAVUT,NETHERLANDS,CARGO - SOLID,GENERAL CARGO,6037.00,1988,,BERTHED/DOCKED,CARRIAGE OF GOODS,N/A,NO,YES,YES,PERSON SERIOUSLY INJURED OR KILLED,IN CONTACT WITH ANY PART OF THE SHIP OR ITS CONTENTS,2018-08-15T10:01:40
M04C0068,UNK/INC LAKE WINNIPEG YAWL,CANADA,FISHING,GILLNETTER,,,,UNDERWAY - moving ahead,FISHING,FISHING,NO,YES,YES,CAPSIZES,N/A,2018-08-15T10:01:40
M04C0069,UNK/INC FISHING LAKE WINNIPEG YAWL,CANADA,FISHING,GILLNETTER,,,,UNDERWAY - moving ahead,FISHING,FISHING,NO,YES,YES,CAPSIZES,N/A,2018-08-15T10:01:40
M04C0070,UNK/INC DIVE,CANADA,SERVICE SHIP,OFFSHORE SUPPORT (INCL. ANCHOR HANDLING/DIVING/STANDBY),,1987,,UNDERWAY - moving ahead,CARRIAGE OF PEOPLE,DIVING,NO,YES,YES,SANK,FOUNDERS (TAKING ON WATER ABOVE THE WATERLINE),2018-08-15T10:01:40
M04C0071,CANADIAN PROSPECTOR,CANADA,CARGO - SOLID,BULK CARRIER,18526.79,1964,1979,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),2018-08-15T10:01:40
M04C0072,MICHIGANBORG,NETHERLANDS,CARGO - SOLID,GENERAL CARGO,6540.00,1999,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,INTENTIONAL BEACHING/GROUNDING/ANCHORING TO AVOID OCCURRENCE,N/A,2018-08-15T10:01:40
M04C0072,MICHIGANBORG,NETHERLANDS,CARGO - SOLID,GENERAL CARGO,6540.00,1999,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,NO,GROUNDING,NOT UNDER POWER (INCLUDES DRIFTING) (NON-INTENTIONAL),2018-08-15T10:01:40
M04C0073,ROSALEE D.,CANADA,TUG,N/A,,,,UNDERWAY - unknown,UNKNOWN,N/A,NO,YES,YES,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),2018-08-15T10:01:40
M04C0073,UNK/INC POLICE,CANADA,SERVICE SHIP,PATROL VESSEL (HARBOUR/SECURITY/RCMP),,,,BERTHED/DOCKED,GOVERNMENT-GENERAL,N/A,NO,NO,YES,COLLISION,STRUCK BY VESSEL,2018-08-15T10:01:40
M04C0074,CUYAHOGA,CANADA,CARGO - SOLID,BULK CARRIER,10532.00,1943,,UNDERWAY - moving ahead,CARRIAGE OF GOODS,N/A,NO,YES,YES,STRIKING,ALLISION WITH A FIXED OBJECT (STRIKING - INCLUDES BERTHED/DOCKED VESSELS),2018-08-15T10:01:40
M04C0075,PENICHE #C03880QC,CANADA,SERVICE SHIP,CREW BOAT,4.60,1993,,UNDERWAY - moving ahead,SERVICE,WATERWAY MANAGEMENT (INCL BUOYS),NO,YES,YES,CAPSIZES,N/A,2018-08-15T10:01:40
